task,target_day,business_day,business_period,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-07-24,2026-07-24,32,2026-07-24 08:00:00,8,1_32,402.256,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-17,2026-07-17,58,2026-07-17 14:30:00,15,33_64,382.309,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,50,2026-07-20 12:30:00,13,33_64,-85.841,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,18,2026-07-19 04:30:00,5,1_32,458.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-17,2026-07-17,53,2026-07-17 13:15:00,14,33_64,376.175,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,47,2026-07-21 11:45:00,12,33_64,188.059,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,94,2026-07-20 23:30:00,24,65_96,621.167,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,12,2026-07-20 03:00:00,3,1_32,428.48,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-21,2026-07-21,71,2026-07-21 17:45:00,18,65_96,546.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,16,2026-07-19 04:00:00,4,1_32,456.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,11,2026-07-20 02:45:00,3,1_32,428.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,76,2026-07-16 19:00:00,19,65_96,459.017,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,20,2026-07-20 05:00:00,5,1_32,427.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,7,2026-07-20 01:45:00,2,1_32,522.2,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,92,2026-07-19 23:00:00,23,65_96,414.5,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,89,2026-07-19 22:15:00,23,65_96,396.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,93,2026-07-19 23:15:00,24,65_96,428.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,81,2026-07-19 20:15:00,21,65_96,388.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
